# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:P_OVER_RHO
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   1.9999999999999998E-002 0.0000000000000000E+000 -1.9261427181239138E-005
  1.7938510864529466E-002  1.7938510864529466E-002      10     10   1.9999999999999998E-002 0.0000000000000000E+000  4.8497425031581951E-004
  4.6540436169914354E-002  4.6540436169914354E-002      20     20   1.9999999999999998E-002 0.0000000000000000E+000  7.5968643096390371E-004
  7.5376347378310910E-002  7.5376347378310910E-002      30     30   1.9999999999999998E-002 0.0000000000000000E+000  1.0315012922917774E-003
  1.0258117864846492E-001  1.0258117864846492E-001      40     40   1.9999999999999998E-002 0.0000000000000000E+000  1.4657201206180092E-003
  1.2960307767380041E-001  1.2960307767380041E-001      50     50   1.9999999999999998E-002 0.0000000000000000E+000  1.9958987805500878E-003
  1.5749992707448690E-001  1.5749992707448690E-001      60     60   1.9999999999999998E-002 0.0000000000000000E+000  2.4086676106977900E-003
  1.8634864772322830E-001  1.8634864772322830E-001      70     70   1.9999999999999998E-002 0.0000000000000000E+000  2.4230951230261372E-003
  2.1599439733745131E-001  2.1599439733745131E-001      80     80   1.9999999999999998E-002 0.0000000000000000E+000  1.8746482244444052E-003
  2.4582443465822607E-001  2.4582443465822607E-001      90     90   1.9999999999999998E-002 0.0000000000000000E+000  7.8983565396235189E-004
  2.7583405656174031E-001  2.7583405656174031E-001     100    100   1.9999999999999998E-002 0.0000000000000000E+000 -6.3207461587337760E-004
  3.0603291407226986E-001  3.0603291407226986E-001     110    110   1.9999999999999998E-002 0.0000000000000000E+000 -2.1209990010721004E-003
  3.3642268819009069E-001  3.3642268819009069E-001     120    120   1.9999999999999998E-002 0.0000000000000000E+000 -3.4727734375577421E-003
  3.6699825285376026E-001  3.6699825285376026E-001     130    130   1.9999999999999998E-002 0.0000000000000000E+000 -4.5917237070038225E-003
  3.9769102381425200E-001  3.9769102381425200E-001     140    140   1.9999999999999998E-002 0.0000000000000000E+000 -5.4581876490804539E-003
  4.2847023746856489E-001  4.2847023746856489E-001     150    150   1.9999999999999998E-002 0.0000000000000000E+000 -6.0939220865851524E-003
  4.5933511780304590E-001  4.5933511780304590E-001     160    160   1.9999999999999998E-002 0.0000000000000000E+000 -6.5344499417716894E-003
  4.9028368698366602E-001  4.9028368698366602E-001     170    170   1.9999999999999998E-002 0.0000000000000000E+000 -6.8160717501046121E-003
  5.2131300323688076E-001  5.2131300323688076E-001     180    180   1.9999999999999998E-002 0.0000000000000000E+000 -6.9715017865485577E-003
  5.5241931963130195E-001  5.5241931963130195E-001     190    190   1.9999999999999998E-002 0.0000000000000000E+000 -7.0287687339581337E-003
  5.8359815749409058E-001  5.8359815749409058E-001     200    200   1.9999999999999998E-002 0.0000000000000000E+000 -7.0114033970437796E-003
  6.1484422678117809E-001  6.1484422678117809E-001     210    210   1.9999999999999998E-002 0.0000000000000000E+000 -6.9389846391414469E-003
  6.4615092377297624E-001  6.4615092377297624E-001     220    220   1.9999999999999998E-002 0.0000000000000000E+000 -6.8276281684794168E-003
  6.7750979095475818E-001  6.7750979095475818E-001     230    230   1.9999999999999998E-002 0.0000000000000000E+000 -6.6904289086373225E-003
  7.0891161338693544E-001  7.0891161338693544E-001     240    240   1.9999999999999998E-002 0.0000000000000000E+000 -6.5378147161083584E-003
  7.4034952915799543E-001  7.4034952915799543E-001     250    250   1.9999999999999998E-002 0.0000000000000000E+000 -6.3779120854807205E-003
  7.7182080390241250E-001  7.7182080390241250E-001     260    260   1.9999999999999998E-002 0.0000000000000000E+000 -6.2167451646365936E-003
  8.0332480168193391E-001  8.0332480168193391E-001     270    270   1.9999999999999998E-002 0.0000000000000000E+000 -6.0584265401024124E-003
  8.3486022318965815E-001  8.3486022318965815E-001     280    280   1.9999999999999998E-002 0.0000000000000000E+000 -5.9055834690861548E-003
  8.6642502215709438E-001  8.6642502215709438E-001     290    290   1.9999999999999998E-002 0.0000000000000000E+000 -5.7599811224566312E-003
  8.9801751542614507E-001  8.9801751542614507E-001     300    300   1.9999999999999998E-002 0.0000000000000000E+000 -5.6229449377358777E-003
  9.2963641990341798E-001  9.2963641990341798E-001     310    310   1.9999999999999998E-002 0.0000000000000000E+000 -5.4954274665966096E-003
  9.6128044439847375E-001  9.6128044439847375E-001     320    320   1.9999999999999998E-002 0.0000000000000000E+000 -5.3779479088729482E-003
  9.9294834175721788E-001  9.9294834175721788E-001     330    330   1.9999999999999998E-002 0.0000000000000000E+000 -5.2706185190743006E-003
  1.0246390002544900E+000  1.0246390002544900E+000     340    340   1.9999999999999998E-002 0.0000000000000000E+000 -5.1732300582961663E-003
  1.0563513191119755E+000  1.0563513191119755E+000     350    350   1.9999999999999998E-002 0.0000000000000000E+000 -5.0853438487258886E-003
  1.0880841365626616E+000  1.0880841365626616E+000     360    360   1.9999999999999998E-002 0.0000000000000000E+000 -5.0063434538096913E-003
  1.1198362559333920E+000  1.1198362559333920E+000     370    370   1.9999999999999998E-002 0.0000000000000000E+000 -4.9355084287132502E-003
  1.1516064505913583E+000  1.1516064505913583E+000     380    380   1.9999999999999998E-002 0.0000000000000000E+000 -4.8720645725361624E-003
  1.1833934694661887E+000  1.1833934694661887E+000     390    390   1.9999999999999998E-002 0.0000000000000000E+000 -4.8152302908255624E-003
  1.2151960883614543E+000  1.2151960883614543E+000     400    400   1.9999999999999998E-002 0.0000000000000000E+000 -4.7642541059909371E-003
  1.2470131760826095E+000  1.2470131760826095E+000     410    410   1.9999999999999998E-002 0.0000000000000000E+000 -4.7184479213071339E-003
  1.2788437450123186E+000  1.2788437450123186E+000     420    420   1.9999999999999998E-002 0.0000000000000000E+000 -4.6772037560992165E-003
  1.3106869875861439E+000  1.3106869875861439E+000     430    430   1.9999999999999998E-002 0.0000000000000000E+000 -4.6399875967197568E-003
  1.3425423019333566E+000  1.3425423019333566E+000     440    440   1.9999999999999998E-002 0.0000000000000000E+000 -4.6063354143411894E-003
  1.3744092995964323E+000  1.3744092995964323E+000     450    450   1.9999999999999998E-002 0.0000000000000000E+000 -4.5758413412153995E-003
  1.4062877868575165E+000  1.4062877868575165E+000     460    460   1.9999999999999998E-002 0.0000000000000000E+000 -4.5481391035340710E-003
  1.4381777165625637E+000  1.4381777165625637E+000     470    470   1.9999999999999998E-002 0.0000000000000000E+000 -4.5229015904527916E-003
