# 01:time 02:total_time 03:iteration 04:total_iteration 05:X 06:Y 007:U(1) 008:U(2) 009:U(mag)
 0.0000000000000000E+000 0.0000000000000000E+000       0      0   1.9999999999999998E-002 0.0000000000000000E+000   1.4366370072000886E-001 -1.4213344350099667E-004  1.4366377102973468E-001
  1.7938510864529466E-002  1.7938510864529466E-002      10     10   1.9999999999999998E-002 0.0000000000000000E+000   1.3998611627109383E-001  1.1711815464916572E-004  1.3998616526402296E-001
  4.6540436169914354E-002  4.6540436169914354E-002      20     20   1.9999999999999998E-002 0.0000000000000000E+000   1.3615585972502293E-001  1.6105581035001641E-004  1.3615595497970025E-001
  7.5376347378310910E-002  7.5376347378310910E-002      30     30   1.9999999999999998E-002 0.0000000000000000E+000   1.3040694348430161E-001  2.3688698573360253E-004  1.3040715863924745E-001
  1.0258117864846492E-001  1.0258117864846492E-001      40     40   1.9999999999999998E-002 0.0000000000000000E+000   1.2204592765364019E-001  3.8484881631430720E-004  1.2204653442621382E-001
  1.2960307767380041E-001  1.2960307767380041E-001      50     50   1.9999999999999998E-002 0.0000000000000000E+000   1.0831517660056855E-001  6.7580764496923784E-004  1.0831728485327425E-001
  1.5749992707448690E-001  1.5749992707448690E-001      60     60   1.9999999999999998E-002 0.0000000000000000E+000   8.7384761528302110E-002  1.0067189523432795E-003  8.7390560304916444E-002
  1.8634864772322830E-001  1.8634864772322830E-001      70     70   1.9999999999999998E-002 0.0000000000000000E+000   6.2000768521723648E-002  1.2553142775495331E-003  6.2013475239013802E-002
  2.1599439733745131E-001  2.1599439733745131E-001      80     80   1.9999999999999998E-002 0.0000000000000000E+000   3.5263260534481890E-002  1.4050918432743698E-003  3.5291242916774465E-002
  2.4582443465822607E-001  2.4582443465822607E-001      90     90   1.9999999999999998E-002 0.0000000000000000E+000   9.8735214064087681E-003  1.4309583811093144E-003  9.9766761424474026E-003
  2.7583405656174031E-001  2.7583405656174031E-001     100    100   1.9999999999999998E-002 0.0000000000000000E+000  -1.2298931737081095E-002  1.3367950986806866E-003  1.2371367871389054E-002
  3.0603291407226986E-001  3.0603291407226986E-001     110    110   1.9999999999999998E-002 0.0000000000000000E+000  -3.0212912201499242E-002  1.1655079519429663E-003  3.0235384444083788E-002
  3.3642268819009069E-001  3.3642268819009069E-001     120    120   1.9999999999999998E-002 0.0000000000000000E+000  -4.3827505245145168E-002  9.6718537029434301E-004  4.3838175869369129E-002
  3.6699825285376026E-001  3.6699825285376026E-001     130    130   1.9999999999999998E-002 0.0000000000000000E+000  -5.3704659537280656E-002  7.7686331594049775E-004  5.3710278091133396E-002
  3.9769102381425200E-001  3.9769102381425200E-001     140    140   1.9999999999999998E-002 0.0000000000000000E+000  -6.0560074800974783E-002  6.1251287052313969E-004  6.0563172241191400E-002
  4.2847023746856489E-001  4.2847023746856489E-001     150    150   1.9999999999999998E-002 0.0000000000000000E+000  -6.5070319095094948E-002  4.7924611775642729E-004  6.5072083906840294E-002
  4.5933511780304590E-001  4.5933511780304590E-001     160    160   1.9999999999999998E-002 0.0000000000000000E+000  -6.7786843420688125E-002  3.7500770535577703E-004  6.7787880714180506E-002
  4.9028368698366602E-001  4.9028368698366602E-001     170    170   1.9999999999999998E-002 0.0000000000000000E+000  -6.9133658954079679E-002  2.9360194648711468E-004  6.9134282396521493E-002
  5.2131300323688076E-001  5.2131300323688076E-001     180    180   1.9999999999999998E-002 0.0000000000000000E+000  -6.9434102789050795E-002  2.2677364713028258E-004  6.9434473112478523E-002
  5.5241931963130195E-001  5.5241931963130195E-001     190    190   1.9999999999999998E-002 0.0000000000000000E+000  -6.8936768369496519E-002  1.6599156559431358E-004  6.8936968213212450E-002
  5.8359815749409058E-001  5.8359815749409058E-001     200    200   1.9999999999999998E-002 0.0000000000000000E+000  -6.7836281917723972E-002  1.0398396486889074E-004  6.7836361614445941E-002
  6.1484422678117809E-001  6.1484422678117809E-001     210    210   1.9999999999999998E-002 0.0000000000000000E+000  -6.6288367151187106E-002  3.5960196436657883E-005  6.6288376905052590E-002
  6.4615092377297624E-001  6.4615092377297624E-001     220    220   1.9999999999999998E-002 0.0000000000000000E+000  -6.4420086268571044E-002 -3.9577323611268777E-005  6.4420098425993419E-002
  6.7750979095475818E-001  6.7750979095475818E-001     230    230   1.9999999999999998E-002 0.0000000000000000E+000  -6.2336515737523514E-002 -1.2055645057699180E-004  6.2336632313209650E-002
  7.0891161338693544E-001  7.0891161338693544E-001     240    240   1.9999999999999998E-002 0.0000000000000000E+000  -6.0124715155854451E-002 -2.0168643582036351E-004  6.0125053430255075E-002
  7.4034952915799543E-001  7.4034952915799543E-001     250    250   1.9999999999999998E-002 0.0000000000000000E+000  -5.7855613382682404E-002 -2.7545548840373821E-004  5.7856269112452380E-002
  7.7182080390241250E-001  7.7182080390241250E-001     260    260   1.9999999999999998E-002 0.0000000000000000E+000  -5.5584860481277242E-002 -3.3357943733935000E-004  5.5585861421444864E-002
  8.0332480168193391E-001  8.0332480168193391E-001     270    270   1.9999999999999998E-002 0.0000000000000000E+000  -5.3354271676242577E-002 -3.6852493100374710E-004  5.3355544386006146E-002
  8.3486022318965815E-001  8.3486022318965815E-001     280    280   1.9999999999999998E-002 0.0000000000000000E+000  -5.1194777381236304E-002 -3.7480836363030531E-004  5.1196149390591783E-002
  8.6642502215709438E-001  8.6642502215709438E-001     290    290   1.9999999999999998E-002 0.0000000000000000E+000  -4.9130001933848026E-002 -3.5006629129926380E-004  4.9131249082719392E-002
  8.9801751542614507E-001  8.9801751542614507E-001     300    300   1.9999999999999998E-002 0.0000000000000000E+000  -4.7178649876876495E-002 -2.9595821944851818E-004  4.7179578161240032E-002
  9.2963641990341798E-001  9.2963641990341798E-001     310    310   1.9999999999999998E-002 0.0000000000000000E+000  -4.5355043711971241E-002 -2.1868188038175904E-004  4.5355570902366881E-002
  9.6128044439847375E-001  9.6128044439847375E-001     320    320   1.9999999999999998E-002 0.0000000000000000E+000  -4.3668853180437654E-002 -1.2869345497153565E-004  4.3669042811813181E-002
  9.9294834175721788E-001  9.9294834175721788E-001     330    330   1.9999999999999998E-002 0.0000000000000000E+000  -4.2125106890761996E-002 -3.9501042370071743E-005  4.2125125410976194E-002
  1.0246390002544900E+000  1.0246390002544900E+000     340    340   1.9999999999999998E-002 0.0000000000000000E+000  -4.0724641773697651E-002  3.4248748761265863E-005  4.0724656175010141E-002
  1.0563513191119755E+000  1.0563513191119755E+000     350    350   1.9999999999999998E-002 0.0000000000000000E+000  -3.9464747591539492E-002  7.9067865453798598E-005  3.9464826797938311E-002
  1.0880841365626616E+000  1.0880841365626616E+000     360    360   1.9999999999999998E-002 0.0000000000000000E+000  -3.8339936477512313E-002  8.4991168652959192E-005  3.8340030680718403E-002
  1.1198362559333920E+000  1.1198362559333920E+000     370    370   1.9999999999999998E-002 0.0000000000000000E+000  -3.7342715615448622E-002  4.7614978156688945E-005  3.7342745971907516E-002
  1.1516064505913583E+000  1.1516064505913583E+000     380    380   1.9999999999999998E-002 0.0000000000000000E+000  -3.6464278062037953E-002 -3.0565736372888880E-005  3.6464290872713571E-002
  1.1833934694661887E+000  1.1833934694661887E+000     390    390   1.9999999999999998E-002 0.0000000000000000E+000  -3.5695032162760966E-002 -1.3981392645039445E-004  3.5695305980402651E-002
  1.2151960883614543E+000  1.2151960883614543E+000     400    400   1.9999999999999998E-002 0.0000000000000000E+000  -3.5025012442768117E-002 -2.6395804483549505E-004  3.5026007058548573E-002
  1.2470131760826095E+000  1.2470131760826095E+000     410    410   1.9999999999999998E-002 0.0000000000000000E+000  -3.4444190620251484E-002 -3.8235488571909090E-004  3.4446312759754897E-002
  1.2788437450123186E+000  1.2788437450123186E+000     420    420   1.9999999999999998E-002 0.0000000000000000E+000  -3.3942692713924453E-002 -4.7282394210270384E-004  3.3945985788486470E-002
  1.3106869875861439E+000  1.3106869875861439E+000     430    430   1.9999999999999998E-002 0.0000000000000000E+000  -3.3510976440743656E-002 -5.1519064986492777E-004  3.3514936422702410E-002
  1.3425423019333566E+000  1.3425423019333566E+000     440    440   1.9999999999999998E-002 0.0000000000000000E+000  -3.3139971964148626E-002 -4.9492956090601527E-004  3.3143667525710180E-002
  1.3744092995964323E+000  1.3744092995964323E+000     450    450   1.9999999999999998E-002 0.0000000000000000E+000  -3.2821211556765610E-002 -4.0630659155693304E-004  3.2823726374382102E-002
  1.4062877868575165E+000  1.4062877868575165E+000     460    460   1.9999999999999998E-002 0.0000000000000000E+000  -3.2546949309817767E-002 -2.5444574693470460E-004  3.2547943898409017E-002
  1.4381777165625637E+000  1.4381777165625637E+000     470    470   1.9999999999999998E-002 0.0000000000000000E+000  -3.2310259094929989E-002 -5.5840081315395222E-005  3.2310307347597104E-002
  1.4700791159309051E+000  1.4700791159309051E+000     480    480   1.9999999999999998E-002 0.0000000000000000E+000  -3.2105101940469751E-002  1.6295677515245843E-004  3.2105515499965462E-002
  1.5019919994113408E+000  1.5019919994113408E+000     490    490   1.9999999999999998E-002 0.0000000000000000E+000  -3.1926316086034143E-002  3.6847730403388996E-004  3.1928442404053329E-002
  1.5339162794352878E+000  1.5339162794352878E+000     500    500   1.9999999999999998E-002 0.0000000000000000E+000  -3.1769529866727044E-002  5.2502478468281008E-004  3.1773867863031610E-002
  1.5658516878701576E+000  1.5658516878701576E+000     510    510   1.9999999999999998E-002 0.0000000000000000E+000  -3.1631024381284000E-002  6.0031373765935489E-004  3.1636720436748895E-002
  1.5977977207034930E+000  1.5977977207034930E+000     520    520   1.9999999999999998E-002 0.0000000000000000E+000  -3.1507623151909380E-002  5.7126581342784241E-004  3.1512801546551321E-002
  1.6297536176023399E+000  1.6297536176023399E+000     530    530   1.9999999999999998E-002 0.0000000000000000E+000  -3.1396677261981040E-002  4.2903411453738424E-004  3.1399608490623482E-002
  1.6617183853056332E+000  1.6617183853056332E+000     540    540   1.9999999999999998E-002 0.0000000000000000E+000  -3.1296152809884412E-002  1.8233048252026582E-004  3.1296683931440600E-002
  1.6936908666824450E+000  1.6936908666824450E+000     550    550   1.9999999999999998E-002 0.0000000000000000E+000  -3.1204741646579265E-002 -1.4170606877969682E-004  3.1205063400667647E-002
  1.7256698493442930E+000  1.7256698493442930E+000     560    560   1.9999999999999998E-002 0.0000000000000000E+000  -3.1121852980968993E-002 -4.9956228223344520E-004  3.1125862163848232E-002
  1.7576541998158616E+000  1.7576541998158616E+000     570    570   1.9999999999999998E-002 0.0000000000000000E+000  -3.1047391577730509E-002 -8.3635399668277443E-004  3.1058654378267882E-002
  1.7896430040793720E+000  1.7896430040793720E+000     580    580   1.9999999999999998E-002 0.0000000000000000E+000  -3.0981311253771059E-002 -1.0933411137666197E-003  3.1000597442534778E-002
  1.8216356929703447E+000  1.8216356929703447E+000     590    590   1.9999999999999998E-002 0.0000000000000000E+000  -3.0923115922553723E-002 -1.2170366888222610E-003  3.0947056025761727E-002
  1.8536321303592071E+000  1.8536321303592071E+000     600    600   1.9999999999999998E-002 0.0000000000000000E+000  -3.0871545277645990E-002 -1.1686360709874905E-003  3.0893656599634815E-002
  1.8856326448198348E+000  1.8856326448198348E+000     610    610   1.9999999999999998E-002 0.0000000000000000E+000  -3.0824641109783983E-002 -9.3229417912081480E-004  3.0838736549726015E-002
  1.9176379916583488E+000  1.9176379916583488E+000     620    620   1.9999999999999998E-002 0.0000000000000000E+000  -3.0780230101112211E-002 -5.2076722843934026E-004  3.0784635186788076E-002
  1.9496492414941082E+000  1.9496492414941082E+000     630    630   1.9999999999999998E-002 0.0000000000000000E+000  -3.0736618153432826E-002  2.2818934582268002E-005  3.0736626623845886E-002
  1.9816676047293462E+000  1.9816676047293462E+000     640    640   1.9999999999999998E-002 0.0000000000000000E+000  -3.0693103752541488E-002  6.2788303955145963E-004  3.0699525323295029E-002
  2.0136942129793165E+000  2.0136942129793165E+000     650    650   1.9999999999999998E-002 0.0000000000000000E+000  -3.0649970367616745E-002  1.2041146489587570E-003  3.0673613670769568E-002
  2.0457298874213130E+000  2.0457298874213130E+000     660    660   1.9999999999999998E-002 0.0000000000000000E+000  -3.0607853035608112E-002  1.6534147936644611E-003  3.0652478658818007E-002
  2.0777749282091355E+000  2.0777749282091355E+000     670    670   1.9999999999999998E-002 0.0000000000000000E+000  -3.0566794058663919E-002  1.8847062664895574E-003  3.0624843129977286E-002
  2.1098289597710402E+000  2.1098289597710402E+000     680    680   1.9999999999999998E-002 0.0000000000000000E+000  -3.0525602276841237E-002  1.8296644374433812E-003  3.0580386955000098E-002
  2.1418908630793080E+000  2.1418908630793080E+000     690    690   1.9999999999999998E-002 0.0000000000000000E+000  -3.0482097582762457E-002  1.4570008136192964E-003  3.0516898997374228E-002
  2.1739588184222502E+000  2.1739588184222502E+000     700    700   1.9999999999999998E-002 0.0000000000000000E+000  -3.0434393734057243E-002  7.8276103630391995E-004  3.0444458228051596E-002
  2.2060304681974396E+000  2.2060304681974396E+000     710    710   1.9999999999999998E-002 0.0000000000000000E+000  -3.0382662701365661E-002 -1.2568246948917876E-004  3.0382922652504862E-002
  2.2381031913996789E+000  2.2381031913996789E+000     720    720   1.9999999999999998E-002 0.0000000000000000E+000  -3.0330290274759534E-002 -1.1535522467668584E-003  3.0352218879963186E-002
  2.2701744600311943E+000  2.2701744600311943E+000     730    730   1.9999999999999998E-002 0.0000000000000000E+000  -3.0283372123214928E-002 -2.1509003431121564E-003  3.0359660726679922E-002
  2.3022422289133701E+000  2.3022422289133701E+000     740    740   1.9999999999999998E-002 0.0000000000000000E+000  -3.0248295190570972E-002 -2.9520923821467675E-003  3.0392009005142255E-002
  2.3343052996781468E+000  2.3343052996781468E+000     750    750   1.9999999999999998E-002 0.0000000000000000E+000  -3.0228277670209098E-002 -3.4002070963521640E-003  3.0418911538800093E-002
  2.3663635945808381E+000  2.3663635945808381E+000     760    760   1.9999999999999998E-002 0.0000000000000000E+000  -3.0220687349253814E-002 -3.3731891873035806E-003  3.0408359856373232E-002
  2.3984182848783581E+000  2.3984182848783581E+000     770    770   1.9999999999999998E-002 0.0000000000000000E+000  -3.0217032569120871E-002 -2.8081401130709622E-003  3.0347235593673929E-002
  2.4304717355660643E+000  2.4304717355660643E+000     780    780   1.9999999999999998E-002 0.0000000000000000E+000  -3.0206366499648731E-002 -1.7198316990744235E-003  3.0255287111251192E-002
  2.4625272524003736E+000  2.4625272524003736E+000     790    790   1.9999999999999998E-002 0.0000000000000000E+000  -3.0180899699282606E-002 -2.0951641567809451E-004  3.0181626924117188E-002
  2.4945886463555795E+000  2.4945886463555795E+000     800    800   1.9999999999999998E-002 0.0000000000000000E+000  -3.0140827070655276E-002  1.5391121150248549E-003  3.0180098121208320E-002
  2.5266596577429369E+000  2.5266596577429369E+000     810    810   1.9999999999999998E-002 0.0000000000000000E+000  -3.0095039471469755E-002  3.2780000112483267E-003  3.0273035607006222E-002
